Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,5,1,6,4.8,ENE,4,6
2021,5,1,12,8.2,  E,5,2
2021,5,1,18,5.7, NE,2,7
2021,5,2,6,6.6,  E,6,8
2021,5,2,12,4.6, NE,5,8
2021,5,2,18,3.7,  N,5,8
2021,5,3,6,5.9, NW,8,8
2021,5,3,12,9.9,  W,5,8
2021,5,3,18,6.2,  W,4,7
2021,5,4,6,6.2,  S,3,8
2021,5,4,12,12.5,SSE,5,8
2021,5,4,18,10.5,  S,2,7
2021,5,5,6,8.9,WSW,7,4
2021,5,5,12,12.5,WSW,7,5
2021,5,5,18,8.3, SW,5,7
2021,5,6,6,5.0,WSW,9,7
2021,5,6,12,9.1,WSW,7,7
2021,5,6,18,8.1,WSW,3,3
2021,5,7,6,6.4,WSW,2,7
2021,5,7,12,9.8, NW,5,7
2021,5,7,18,6.5,WNW,6,4
2021,5,8,6,6.3,  W,4,7
2021,5,8,12,5.0,WSW,6,7
2021,5,8,18,8.2,  W,1,1
2021,5,9,6,7.4,SSE,3,8
2021,5,9,12,15.5,  S,3,8
2021,5,9,18,18.3,  S,5,7
2021,5,10,6,14.2,SSE,4,4
2021,5,10,12,23.7,SSE,5,5
2021,5,10,18,22.1,SSE,5,5
2021,5,11,6,17.1, SE,4,1
2021,5,11,12,25.3, SE,6,1
2021,5,11,18,23.2, SE,5,1
2021,5,12,6,16.8, SE,5,1
2021,5,12,12,25.0, SE,4,1
2021,5,12,18,22.4, SE,5,2
2021,5,13,6,15.3, SE,4,1
2021,5,13,12,19.2,ENE,5,1
2021,5,13,18,14.0,ENE,4,6
2021,5,14,6,10.2,ENE,4,6
2021,5,14,12,13.8, NE,4,6
2021,5,14,18,10.1,ENE,3,6
2021,5,15,6,10.3,WSW,1,8
2021,5,15,12,12.9,WSW,3,7
2021,5,15,18,11.1,ENE,3,4
2021,5,16,6,10.6, SE,3,8
2021,5,16,12,15.1, SE,4,7
2021,5,16,18,11.6,  N,1,7
2021,5,17,6,13.9,SSW,1,3
2021,5,17,12,18.3,WSW,4,7
2021,5,17,18,12.4, NE,1,7
2021,5,18,6,10.9, NW,5,8
2021,5,18,12,11.6,WNW,4,8
2021,5,18,18,10.6, NW,4,8
2021,5,19,6,10.5,WNW,5,6
2021,5,19,12,13.9,WNW,7,7
2021,5,19,18,11.9,WNW,6,5
2021,5,20,6,10.4,WNW,6,1
2021,5,20,12,13.8, NW,7,7
2021,5,20,18,10.9,  W,6,5
2021,5,21,6,10.9,WSW,3,8
2021,5,21,12,16.4,SSW,2,7
2021,5,21,18,10.0,  C,0,7
2021,5,22,6,12.3,WSW,3,7
2021,5,22,12,15.9,SSE,8,6
2021,5,22,18,11.2,SSW,2,6
2021,5,23,6,11.4,WSW,5,7
2021,5,23,12,15.0,WSW,5,7
2021,5,23,18,12.0,WSW,1,7
2021,5,24,6,12.0,WSW,2,1
2021,5,24,12,17.6, SW,3,6
2021,5,24,18,16.1, SE,4,7
2021,5,25,6,11.6,ESE,4,8
2021,5,25,12,15.6,WSW,4,7
2021,5,25,18,11.5,WSW,2,7
2021,5,26,6,8.7, SW,6,7
2021,5,26,12,13.1, SW,8,7
2021,5,26,18,11.7,SSW,3,7
2021,5,27,6,9.5, SW,3,7
2021,5,27,12,15.2, SW,5,6
2021,5,27,18,10.8,  E,2,3
2021,5,28,6,10.4,WNW,3,7
2021,5,28,12,11.5,NNW,3,8
2021,5,28,18,10.4, SE,2,7
2021,5,29,6,9.4, NW,1,7
2021,5,29,12,11.3, NE,4,7
2021,5,29,18,9.1,NNE,3,7
2021,5,30,6,11.2,  N,5,3
2021,5,30,12,13.0,ENE,7,2
2021,5,30,18,11.3,  N,4,1
2021,5,31,6,12.7,NNE,4,2
2021,5,31,12,15.1,ENE,4,2
2021,5,31,18,12.7,ENE,2,6
