Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,4,1,6,8.2,WSW,1,7
2021,4,1,12,3.9,NNE,6,8
2021,4,1,18,2.2,NNE,3,7
2021,4,2,6,.4,WSW,3,1
2021,4,2,12,8.2,WNW,8,6
2021,4,2,18,3.8, NW,5,7
2021,4,3,6,2.7,NNW,2,7
2021,4,3,12,5.3,  N,6,5
2021,4,3,18,1.9, NW,3,1
2021,4,4,6,1.8,WSW,3,7
2021,4,4,12,8.4,WSW,5,2
2021,4,4,18,6.1,WNW,4,1
2021,4,5,6,3.9, SW,5,8
2021,4,5,12,2.2,  W,4,7
2021,4,5,18,-.2, SW,5,3
2021,4,6,6,1.2,WSW,7,6
2021,4,6,12,3.9,  W,7,7
2021,4,6,18,.5,WSW,4,1
2021,4,7,6,.4,WSW,4,7
2021,4,7,12,5.6,  W,7,6
2021,4,7,18,2.7,  W,2,3
2021,4,8,6,3.0,  W,3,7
2021,4,8,12,8.1,  W,6,7
2021,4,8,18,3.6,  W,5,3
2021,4,9,6,2.5, SW,5,7
2021,4,9,12,9.6, SW,7,8
2021,4,9,18,8.9, SW,3,8
2021,4,10,6,3.1,WSW,3,7
2021,4,10,12,7.3,  W,1,7
2021,4,10,18,2.8,  C,0,7
2021,4,11,6,4.5,ESE,5,8
2021,4,11,12,13.6, SE,4,7
2021,4,11,18,15.5, SE,3,5
2021,4,12,6,6.3, NW,5,8
2021,4,12,12,3.8, NW,9,8
2021,4,12,18,2.4,  W,3,8
2021,4,13,6,3.3,  W,3,7
2021,4,13,12,7.2,WNW,5,7
2021,4,13,18,4.7, NW,3,7
2021,4,14,6,2.9, NW,4,7
2021,4,14,12,6.2,  N,6,8
2021,4,14,18,3.4,  N,4,8
2021,4,15,6,1.7,NNE,5,8
2021,4,15,12,4.3,NNE,9,8
2021,4,15,18,4.1,NNE,5,8
2021,4,16,6,3.6,  N,5,8
2021,4,16,12,5.7,NNW,7,8
2021,4,16,18,3.4, NW,3,7
2021,4,17,6,7.4, NE,2,1
2021,4,17,12,11.4, NE,3,7
2021,4,17,18,7.2,  N,1,1
2021,4,18,6,9.8,  E,2,6
2021,4,18,12,13.0, SE,1,7
2021,4,18,18,10.9,NNW,3,6
2021,4,19,6,7.9,WNW,1,0
2021,4,19,12,15.0,ENE,6,0
2021,4,19,18,11.2,NNE,4,0
2021,4,20,6,8.6,  W,1,2
2021,4,20,12,14.2,ENE,4,6
2021,4,20,18,9.3, NE,3,1
2021,4,21,6,8.0,  W,2,0
2021,4,21,12,14.9,WNW,6,7
2021,4,21,18,7.8,  W,7,5
2021,4,22,6,5.2,WSW,7,7
2021,4,22,12,3.1,  W,8,8
2021,4,22,18,1.2,  W,4,6
2021,4,23,6,4.9,  W,6,2
2021,4,23,12,8.3,WNW,13,4
2021,4,23,18,4.9,NNW,4,1
2021,4,24,6,5.1,  W,4,4
2021,4,24,12,8.2, NW,9,4
2021,4,24,18,4.3,WNW,4,1
2021,4,25,6,3.4, NW,2,0
2021,4,25,12,3.2,ESE,4,7
2021,4,25,18,2.7,NNW,4,6
2021,4,26,6,1.9, NW,5,3
2021,4,26,12,5.2,NNE,3,6
2021,4,26,18,2.9,  C,0,4
2021,4,27,6,3.7, NW,2,7
2021,4,27,12,6.9,ESE,1,7
2021,4,27,18,3.4, NE,2,1
2021,4,28,6,4.1,ESE,4,1
2021,4,28,12,11.2,ESE,4,6
2021,4,28,18,6.7,ENE,4,5
2021,4,29,6,7.8,ESE,3,7
2021,4,29,12,12.6,SSE,3,8
2021,4,29,18,8.1,  E,3,8
2021,4,30,6,8.1,  W,4,7
2021,4,30,12,5.9,NNE,4,8
2021,4,30,18,4.4,NNE,3,6
