Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,12,1,6,-5.0,WSW,1,6
2021,12,1,12,-.3,  S,3,8
2021,12,1,18,.4,  S,3,8
2021,12,2,6,1.0,WSW,8,7
2021,12,2,12,1.3,WSW,10,7
2021,12,2,18,.5,WNW,9,7
2021,12,3,6,-1.2,WSW,5,6
2021,12,3,12,.8,  W,5,7
2021,12,3,18,.6,WSW,6,7
2021,12,4,6,-.5, SW,5,7
2021,12,4,12,1.0,WSW,3,8
2021,12,4,18,.0, SW,2,8
2021,12,5,6,-1.1,  E,2,8
2021,12,5,12,-.1,  E,3,8
2021,12,5,18,1.5,  E,5,8
2021,12,6,6,-.5, NE,4,8
2021,12,6,12,-1.7,NNW,4,8
2021,12,6,18,-2.2,NNE,3,8
2021,12,7,6,-5.7, SE,3,7
2021,12,7,12,-4.5,ESE,4,2
2021,12,7,18,-8.6,  C,0,1
2021,12,8,6,-7.7, SE,5,8
2021,12,8,12,-9.0, SE,4,8
2021,12,8,18,-8.5, SE,3,7
2021,12,9,6,-6.7,ESE,4,7
2021,12,9,12,-4.5, SE,5,8
2021,12,9,18,-3.3, SE,4,8
2021,12,10,6,-2.5, SE,6,8
2021,12,10,12,-1.0,SSE,5,8
2021,12,10,18,-.6, SE,3,8
2021,12,11,6,-2.6, SW,3,8
2021,12,11,12,-2.1,  S,1,8
2021,12,11,18,-3.2,WSW,2,8
2021,12,12,6,-3.6,  W,2,8
2021,12,12,12,-1.1,WSW,3,7
2021,12,12,18,-1.6, SW,2,8
2021,12,13,6,-1.1,SSE,2,7
2021,12,13,12,1.1,  S,1,8
2021,12,13,18,.8, SW,1,8
2021,12,14,6,2.1,WSW,3,8
2021,12,14,12,3.7,WSW,3,8
2021,12,14,18,4.0,  W,3,8
2021,12,15,6,3.3,WSW,3,8
2021,12,15,12,6.5,  W,5,8
2021,12,15,18,7.9,  W,7,8
2021,12,16,6,6.9,WNW,8,8
2021,12,16,12,6.6, NW,8,3
2021,12,16,18,4.7, NW,9,3
2021,12,17,6,1.5, NW,5,1
2021,12,17,12,4.8, NW,7,3
2021,12,17,18,1.9, NW,5,1
2021,12,18,6,2.5,  W,6,7
2021,12,18,12,4.8,WNW,8,7
2021,12,18,18,3.8,  W,6,8
2021,12,19,6,4.0, NW,7,7
2021,12,19,12,4.7, NW,7,7
2021,12,19,18,2.7, NW,7,8
2021,12,20,6,1.1,NNW,7,5
2021,12,20,12,-1.0,NNW,7,7
2021,12,20,18,-1.1, NW,4,6
2021,12,21,6,-4.0, NW,4,7
2021,12,21,12,-3.1,WNW,4,4
2021,12,21,18,-4.7, NW,4,3
2021,12,22,6,-5.9,  W,2,7
2021,12,22,12,-3.7,WSW,1,7
2021,12,22,18,-3.2, SW,2,8
2021,12,23,6,-3.3,WSW,4,7
2021,12,23,12,-2.0,WSW,4,8
2021,12,23,18,-2.6, SW,2,8
2021,12,24,6,-3.0,WSW,2,8
2021,12,24,12,-.2,  W,4,8
2021,12,24,18,-3.2, NW,5,8
2021,12,25,6,-4.8,WNW,6,3
2021,12,25,12,-3.3,  W,4,5
2021,12,25,18,-4.8,  W,5,0
2021,12,26,6,-4.7,  W,4,0
2021,12,26,12,-2.6,  W,3,1
2021,12,26,18,-4.0,  W,3,8
2021,12,27,6,-8.6,SSW,1,4
2021,12,27,12,-6.2,SSE,4,0
2021,12,27,18,-10.6, SE,3,1
2021,12,28,6,-10.5, SE,5,8
2021,12,28,12,-6.2,SSE,5,8
2021,12,28,18,-4.9,SSE,5,8
2021,12,29,6,-3.4, SE,3,8
2021,12,29,12,-2.4,  S,2,8
2021,12,29,18,-1.9,SSW,1,8
2021,12,30,6,.7,WSW,1,8
2021,12,30,12,2.8,WSW,2,8
2021,12,30,18,3.7,WSW,4,8
2021,12,31,6,8.4,  W,4,8
2021,12,31,12,9.4,WSW,3,8
2021,12,31,18,8.7,WNW,7,8
