Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,9,1,6,14.7,NNW,6,6
2021,9,1,12,18.5, NW,7,8
2021,9,1,18,13.1, NW,4,7
2021,9,2,6,14.6, NW,5,2
2021,9,2,12,16.9, NW,9,4
2021,9,2,18,12.8,WNW,3,1
2021,9,3,6,14.4,  W,6,3
2021,9,3,12,17.0,WNW,8,7
2021,9,3,18,12.4,NNW,2,2
2021,9,4,6,12.1,NNW,1,7
2021,9,4,12,13.7,  N,1,7
2021,9,4,18,11.3,  C,0,7
2021,9,5,6,7.9,  C,0,7
2021,9,5,12,14.4,  E,5,4
2021,9,5,18,10.5,  E,3,7
2021,9,6,6,9.1,WNW,1,4
2021,9,6,12,18.6,SSW,2,4
2021,9,6,18,13.6,SSE,2,7
2021,9,7,6,11.2,  W,1,0
2021,9,7,12,19.5,SSW,3,1
2021,9,7,18,15.2,  C,0,4
2021,9,8,6,14.0,  C,0,1
2021,9,8,12,22.9,WSW,4,1
2021,9,8,18,15.8,ENE,2,1
2021,9,9,6,13.6,  N,1,0
2021,9,9,12,24.8,  S,6,1
2021,9,9,18,19.8,SSE,3,1
2021,9,10,6,13.0,WNW,1,1
2021,9,10,12,26.2,WSW,2,1
2021,9,10,18,22.4,  C,0,4
2021,9,11,6,18.9,  W,1,1
2021,9,11,12,23.2,WSW,4,6
2021,9,11,18,17.5,  C,0,6
2021,9,12,6,15.8, SW,1,8
2021,9,12,12,19.5,  W,4,6
2021,9,12,18,16.7,WSW,2,1
2021,9,13,6,15.0,  W,3,7
2021,9,13,12,17.8, NW,6,7
2021,9,13,18,14.2, NW,5,7
2021,9,14,6,13.7,  C,0,7
2021,9,14,12,16.6,  W,3,7
2021,9,14,18,14.7, SE,1,7
2021,9,15,6,11.1,  C,0,1
2021,9,15,12,18.4,ESE,4,6
2021,9,15,18,15.7,  E,3,7
2021,9,16,6,14.0, SE,5,8
2021,9,16,12,17.2,  W,3,8
2021,9,16,18,16.0,WSW,1,7
2021,9,17,6,14.6,SSW,2,7
2021,9,17,12,17.2,ESE,1,7
2021,9,17,18,15.1,  E,3,7
2021,9,18,6,9.9,ENE,6,8
2021,9,18,12,11.5,NNE,4,7
2021,9,18,18,11.4,NNE,2,7
2021,9,19,6,10.5,NNE,3,7
2021,9,19,12,11.1,  N,6,7
2021,9,19,18,10.7,  N,3,7
2021,9,20,6,10.4, NE,4,7
2021,9,20,12,12.2,NNE,5,6
2021,9,20,18,8.7, NW,3,3
2021,9,21,6,7.8,WNW,1,2
2021,9,21,12,12.3, NW,6,7
2021,9,21,18,8.9,WNW,3,8
2021,9,22,6,8.1, NW,3,7
2021,9,22,12,12.2, NW,3,7
2021,9,22,18,9.9,  C,0,7
2021,9,23,6,12.0,WSW,4,7
2021,9,23,12,14.3,WSW,6,7
2021,9,23,18,13.2,WSW,9,7
2021,9,24,6,12.0,WNW,11,2
2021,9,24,12,14.2,WNW,13,6
2021,9,24,18,11.6,  W,4,3
2021,9,25,6,15.3,WNW,10,7
2021,9,25,12,16.9,WNW,10,6
2021,9,25,18,13.7,  W,3,7
2021,9,26,6,9.2,  W,1,7
2021,9,26,12,16.7, SE,2,2
2021,9,26,18,12.1,  E,3,1
2021,9,27,6,9.5, SE,4,2
2021,9,27,12,17.0, SE,7,1
2021,9,27,18,12.0,ESE,5,4
2021,9,28,6,8.6, SE,3,7
2021,9,28,12,15.0, SE,4,7
2021,9,28,18,12.9, SE,4,7
2021,9,29,6,7.3, SE,4,7
2021,9,29,12,14.9, SE,6,5
2021,9,29,18,12.4, SE,4,2
2021,9,30,6,10.7,  C,0,6
2021,9,30,12,14.6,WSW,5,4
2021,9,30,18,9.9,  S,1,1
