Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,8,1,6,17.7,WSW,5,7
2021,8,1,12,21.2,  W,3,8
2021,8,1,18,16.9,  S,1,7
2021,8,2,6,15.5,  W,4,5
2021,8,2,12,17.7,WNW,6,7
2021,8,2,18,16.9,  W,4,5
2021,8,3,6,15.3,  W,4,7
2021,8,3,12,14.5,WSW,4,8
2021,8,3,18,17.5,WNW,3,6
2021,8,4,6,13.5,  C,0,6
2021,8,4,12,20.2, NE,4,6
2021,8,4,18,17.2,NNE,2,5
2021,8,5,6,17.6,ENE,3,2
2021,8,5,12,19.5, NE,5,6
2021,8,5,18,17.8, NE,2,7
2021,8,6,6,17.5,ENE,5,7
2021,8,6,12,16.9,NNE,6,7
2021,8,6,18,15.9, NW,5,8
2021,8,7,6,16.3,  W,4,5
2021,8,7,12,22.9,  W,4,4
2021,8,7,18,18.0,ESE,2,8
2021,8,8,6,15.6,WSW,1,8
2021,8,8,12,22.4,WSW,5,6
2021,8,8,18,18.3,  N,1,6
2021,8,9,6,15.1,WSW,2,4
2021,8,9,12,22.5,WSW,5,5
2021,8,9,18,18.2,ENE,2,7
2021,8,10,6,16.2,  C,0,5
2021,8,10,12,23.2,WSW,4,7
2021,8,10,18,13.5,  W,7,7
2021,8,11,6,14.7,  W,4,7
2021,8,11,12,18.6,  W,4,6
2021,8,11,18,17.0,  W,3,1
2021,8,12,6,16.9,WNW,4,1
2021,8,12,12,22.5, NW,5,6
2021,8,12,18,17.8,ESE,2,1
2021,8,13,6,16.6,  W,1,7
2021,8,13,12,25.7, SW,3,4
2021,8,13,18,23.3,  S,3,7
2021,8,14,6,18.2,WNW,6,6
2021,8,14,12,21.0,WSW,4,6
2021,8,14,18,20.0,SSW,1,7
2021,8,15,6,16.7,WSW,4,7
2021,8,15,12,21.1,  W,5,6
2021,8,15,18,19.3,WSW,2,6
2021,8,16,6,21.1,SSW,2,2
2021,8,16,12,27.1,WSW,4,7
2021,8,16,18,17.3,  E,2,5
2021,8,17,6,13.7, SW,6,7
2021,8,17,12,16.4,WSW,8,7
2021,8,17,18,16.1,WSW,8,7
2021,8,18,6,14.0,WSW,8,7
2021,8,18,12,17.8,WSW,8,7
2021,8,18,18,16.0,WSW,4,7
2021,8,19,6,14.2,WSW,5,8
2021,8,19,12,14.6, NW,8,7
2021,8,19,18,15.7,WSW,3,2
2021,8,20,6,14.9,WSW,4,7
2021,8,20,12,17.4,WNW,4,7
2021,8,20,18,15.2,WSW,3,7
2021,8,21,6,14.0,  W,3,7
2021,8,21,12,18.5, NW,4,6
2021,8,21,18,15.7,  W,1,1
2021,8,22,6,12.4, NW,1,1
2021,8,22,12,19.2,ENE,3,5
2021,8,22,18,15.3,ENE,3,4
2021,8,23,6,15.7, NE,5,4
2021,8,23,12,17.0, NE,7,4
2021,8,23,18,15.7, NE,4,4
2021,8,24,6,14.9, NE,5,5
2021,8,24,12,16.1,NNE,8,6
2021,8,24,18,13.9,NNE,4,7
2021,8,25,6,12.1,WSW,4,4
2021,8,25,12,16.8,WSW,5,7
2021,8,25,18,13.2,WSW,4,8
2021,8,26,6,13.4,WNW,4,7
2021,8,26,12,14.8,NNW,4,7
2021,8,26,18,13.3,NNW,2,7
2021,8,27,6,12.7,  W,4,6
2021,8,27,12,14.2, NE,2,7
2021,8,27,18,14.2,ENE,1,6
2021,8,28,6,11.5,  W,1,7
2021,8,28,12,17.1,  W,1,7
2021,8,28,18,15.6,ENE,1,7
2021,8,29,6,13.9,  W,3,8
2021,8,29,12,15.9, NE,5,8
2021,8,29,18,15.5, NE,3,8
2021,8,30,6,15.3,NNE,3,8
2021,8,30,12,17.2,ENE,5,7
2021,8,30,18,15.4,NNE,3,7
2021,8,31,6,15.6,NNE,4,8
2021,8,31,12,16.9,NNE,8,7
2021,8,31,18,14.8,  N,6,5
