Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,1,1,6,-3.1,SSE,2,8
2021,1,1,12,-2.4,SSE,2,8
2021,1,1,18,-1.8,  S,1,8
2021,1,2,6,-1.7,SSE,1,7
2021,1,2,12,.8,WSW,3,7
2021,1,2,18,-.2,  S,1,8
2021,1,3,6,-.9,  E,3,8
2021,1,3,12,.0,ENE,4,8
2021,1,3,18,.0,ENE,6,8
2021,1,4,6,-.4,  E,5,8
2021,1,4,12,.1,ENE,4,8
2021,1,4,18,.3,  E,5,8
2021,1,5,6,.9,ENE,4,8
2021,1,5,12,2.1,ENE,8,8
2021,1,5,18,.0,ENE,5,8
2021,1,6,6,.0,ESE,4,8
2021,1,6,12,-.1, SE,4,8
2021,1,6,18,-.2, SE,2,8
2021,1,7,6,-.7,  C,0,8
2021,1,7,12,-.6,WNW,2,8
2021,1,7,18,-1.0, SW,1,7
2021,1,8,6,-.3, SW,2,8
2021,1,8,12,.4,SSE,1,8
2021,1,8,18,-.2,SSE,1,8
2021,1,9,6,-.9,WNW,3,8
2021,1,9,12,.1, NW,3,8
2021,1,9,18,.0,NNW,1,8
2021,1,10,6,.1,  W,1,8
2021,1,10,12,.6,WSW,3,8
2021,1,10,18,-.6,WSW,3,6
2021,1,11,6,-1.0,WSW,4,8
2021,1,11,12,.1,WSW,3,8
2021,1,11,18,.1, SW,3,8
2021,1,12,6,-.6, SW,4,8
2021,1,12,12,.7,WSW,5,8
2021,1,12,18,.1,WSW,1,8
2021,1,13,6,-1.0,WSW,3,7
2021,1,13,12,.6,WSW,2,8
2021,1,13,18,-1.4,  C,0,1
2021,1,14,6,-1.8,NNW,2,7
2021,1,14,12,-1.0,ENE,4,7
2021,1,14,18,-1.8,NNW,2,8
2021,1,15,6,-3.8, NW,3,7
2021,1,15,12,-2.9, NE,3,8
2021,1,15,18,-3.9,NNW,3,6
2021,1,16,6,-2.6, NW,7,8
2021,1,16,12,-1.2,  N,5,8
2021,1,16,18,-4.0, NE,4,7
2021,1,17,6,-13.3, SE,1,7
2021,1,17,12,-10.6, SE,1,7
2021,1,17,18,-14.0, SW,2,2
2021,1,18,6,-9.2,WSW,1,7
2021,1,18,12,-6.0,WSW,2,7
2021,1,18,18,-11.5,  S,2,3
2021,1,19,6,-10.2,SSE,2,7
2021,1,19,12,-5.4, SE,2,8
2021,1,19,18,-4.6,SSE,2,8
2021,1,20,6,-.1,SSE,2,8
2021,1,20,12,2.4,WSW,3,8
2021,1,20,18,2.9,WSW,4,8
2021,1,21,6,3.9,WSW,4,7
2021,1,21,12,7.1, SW,3,6
2021,1,21,18,5.0,SSW,6,7
2021,1,22,6,4.9,  S,6,4
2021,1,22,12,8.1, SW,3,5
2021,1,22,18,5.4,  W,2,8
2021,1,23,6,-.2, SE,1,7
2021,1,23,12,1.8,NNE,5,8
2021,1,23,18,3.1,SSE,3,8
2021,1,24,6,.7,  W,1,7
2021,1,24,12,2.0,NNW,3,8
2021,1,24,18,.0, NW,1,8
2021,1,25,6,.1,WNW,3,8
2021,1,25,12,1.1,WNW,3,6
2021,1,25,18,-.6,  W,3,4
2021,1,26,6,.2,WNW,4,7
2021,1,26,12,.6,WNW,5,7
2021,1,26,18,.1,WNW,5,7
2021,1,27,6,-1.4,WNW,6,3
2021,1,27,12,1.4,WNW,6,6
2021,1,27,18,-.1,WSW,3,7
2021,1,28,6,-1.2,  S,2,7
2021,1,28,12,.9,  W,4,7
2021,1,28,18,-1.6,  W,4,8
2021,1,29,6,-.4,WNW,5,7
2021,1,29,12,1.0,NNW,1,6
2021,1,29,18,-4.4,  C,0,2
2021,1,30,6,-2.5,WNW,3,7
2021,1,30,12,-1.2, NW,7,7
2021,1,30,18,-3.3,  W,4,6
2021,1,31,6,-1.9,WSW,5,6
2021,1,31,12,-.7,WSW,5,4
2021,1,31,18,-1.4,WSW,6,7
