Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,3,1,6,1.1,  W,4,8
2021,3,1,12,7.9,  W,4,0
2021,3,1,18,3.6,WNW,6,0
2021,3,2,6,.9,WNW,5,5
2021,3,2,12,2.2,WNW,6,8
2021,3,2,18,.9,  W,3,8
2021,3,3,6,-1.2, SW,2,8
2021,3,3,12,7.5,  W,4,0
2021,3,3,18,5.1, SW,1,0
2021,3,4,6,5.7, NW,7,8
2021,3,4,12,2.1, NW,5,8
2021,3,4,18,2.1,NNE,3,4
2021,3,5,6,-2.9,  W,2,2
2021,3,5,12,2.4,WNW,6,7
2021,3,5,18,-2.3, NW,4,1
2021,3,6,6,-4.7,  W,1,1
2021,3,6,12,4.4,  W,6,2
2021,3,6,18,1.9,  W,9,7
2021,3,7,6,1.4,  W,8,8
2021,3,7,12,2.0,  W,8,8
2021,3,7,18,-1.2,WNW,3,3
2021,3,8,6,-3.3,WNW,2,4
2021,3,8,12,-1.1,NNW,4,6
2021,3,8,18,-2.7,NNW,2,3
2021,3,9,6,-5.6,SSE,1,5
2021,3,9,12,.2,SSE,2,7
2021,3,9,18,-1.7,SSE,1,6
2021,3,10,6,-7.1,  C,0,1
2021,3,10,12,2.7, NW,2,3
2021,3,10,18,-1.6,ENE,2,4
2021,3,11,6,-2.6,SSE,3,7
2021,3,11,12,-1.8,SSE,9,8
2021,3,11,18,.4,SSE,5,8
2021,3,12,6,4.0,WSW,6,7
2021,3,12,12,6.5,  W,12,6
2021,3,12,18,3.7,WSW,3,2
2021,3,13,6,2.7, SW,4,7
2021,3,13,12,6.8, SW,6,7
2021,3,13,18,5.2,  S,2,7
2021,3,14,6,3.2, SW,4,8
2021,3,14,12,3.1,WNW,8,8
2021,3,14,18,1.8,  W,4,8
2021,3,15,6,2.2,WSW,2,6
2021,3,15,12,6.8,SSW,2,5
2021,3,15,18,2.6,ESE,3,4
2021,3,16,6,-1.7,  C,0,4
2021,3,16,12,6.4,ENE,4,4
2021,3,16,18,1.6,  N,3,3
2021,3,17,6,-.5,  N,5,7
2021,3,17,12,3.9,NNE,6,6
2021,3,17,18,.6, NW,4,3
2021,3,18,6,-.5, NW,3,7
2021,3,18,12,1.5,NNW,4,7
2021,3,18,18,.1, NW,3,7
2021,3,19,6,-1.3, NE,6,8
2021,3,19,12,-2.7,  N,7,8
2021,3,19,18,-3.6,NNW,7,5
2021,3,20,6,-4.0,WNW,4,6
2021,3,20,12,1.1,  W,5,4
2021,3,20,18,.7,WSW,5,8
2021,3,21,6,.4,WSW,4,8
2021,3,21,12,3.9,  N,7,7
2021,3,21,18,.3,WNW,3,0
2021,3,22,6,.5, NW,4,1
2021,3,22,12,6.9, NW,7,6
2021,3,22,18,3.2,  W,4,6
2021,3,23,6,2.3,  W,5,8
2021,3,23,12,8.5, NW,7,2
2021,3,23,18,4.6,WNW,4,7
2021,3,24,6,4.0, SW,2,8
2021,3,24,12,6.5,  W,4,8
2021,3,24,18,5.7,WSW,3,8
2021,3,25,6,3.4, SW,2,5
2021,3,25,12,10.8,WSW,4,8
2021,3,25,18,6.5,WNW,1,1
2021,3,26,6,-1.6,WNW,1,5
2021,3,26,12,13.6,WSW,3,4
2021,3,26,18,11.0,  S,3,3
2021,3,27,6,6.5,SSE,5,2
2021,3,27,12,14.3,  S,6,7
2021,3,27,18,5.0,WSW,4,7
2021,3,28,6,3.8,WSW,5,7
2021,3,28,12,7.0,WSW,8,7
2021,3,28,18,6.1,SSW,3,6
2021,3,29,6,7.3,WSW,6,8
2021,3,29,12,9.5,  W,5,8
2021,3,29,18,9.0,WSW,3,8
2021,3,30,6,9.6,  W,3,8
2021,3,30,12,17.2,  W,7,5
2021,3,30,18,14.0,  W,6,2
2021,3,31,6,8.6,  W,3,1
2021,3,31,12,19.1,  W,6,0
2021,3,31,18,13.2,WSW,2,1
