Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,7,1,6,17.1,SSE,1,7
2021,7,1,12,23.2,SSW,3,6
2021,7,1,18,21.1,WSW,4,7
2021,7,2,6,16.6,WNW,4,8
2021,7,2,12,18.9,WNW,5,7
2021,7,2,18,17.2,WNW,5,7
2021,7,3,6,18.0,WNW,5,7
2021,7,3,12,21.6, NW,4,7
2021,7,3,18,20.5,NNW,4,7
2021,7,4,6,18.2,  W,2,8
2021,7,4,12,22.4, NE,4,6
2021,7,4,18,20.2,ENE,2,7
2021,7,5,6,20.3,ESE,2,7
2021,7,5,12,23.4,ENE,4,6
2021,7,5,18,20.6,ESE,2,7
2021,7,6,6,20.8,WSW,2,1
2021,7,6,12,25.7,  S,2,4
2021,7,6,18,25.8, SE,4,1
2021,7,7,6,24.2,SSW,1,6
2021,7,7,12,25.7,ENE,5,6
2021,7,7,18,18.8, NW,6,7
2021,7,8,6,17.2, NW,3,7
2021,7,8,12,19.6, NE,4,8
2021,7,8,18,17.9,NNE,2,7
2021,7,9,6,20.5, NE,1,7
2021,7,9,12,24.8, SW,2,7
2021,7,9,18,20.8,  S,3,8
2021,7,10,6,18.5, SW,4,7
2021,7,10,12,20.3, SW,3,7
2021,7,10,18,18.9,WSW,4,4
2021,7,11,6,19.7,  C,0,1
2021,7,11,12,22.9,ENE,5,3
2021,7,11,18,20.3,  E,4,3
2021,7,12,6,20.6,ENE,4,7
2021,7,12,12,24.2,ENE,5,2
2021,7,12,18,18.4,WNW,3,8
2021,7,13,6,21.3, SE,2,1
2021,7,13,12,27.1,ENE,3,2
2021,7,13,18,23.7,ENE,4,0
2021,7,14,6,22.2,ESE,2,0
2021,7,14,12,27.6,  E,4,1
2021,7,14,18,25.0,ENE,3,2
2021,7,15,6,22.2, SW,1,4
2021,7,15,12,28.1,SSE,3,1
2021,7,15,18,25.4,ENE,3,1
2021,7,16,6,24.5,  C,0,4
2021,7,16,12,26.3, NE,3,7
2021,7,16,18,23.3,ENE,3,7
2021,7,17,6,21.9,  N,5,7
2021,7,17,12,24.3,NNW,6,7
2021,7,17,18,22.2, NW,4,5
2021,7,18,6,20.4,WNW,6,3
2021,7,18,12,24.3,WNW,8,3
2021,7,18,18,19.5,WNW,4,1
2021,7,19,6,16.7,WNW,4,7
2021,7,19,12,20.8, NW,6,6
2021,7,19,18,19.1,  N,3,4
2021,7,20,6,18.3,  W,3,3
2021,7,20,12,22.8,  W,5,6
2021,7,20,18,19.8,WNW,6,4
2021,7,21,6,17.8,  W,4,6
2021,7,21,12,21.5,WNW,7,6
2021,7,21,18,20.2,NNW,5,6
2021,7,22,6,17.7,  W,2,6
2021,7,22,12,21.5,  W,3,5
2021,7,22,18,19.4, NW,1,4
2021,7,23,6,17.4,WNW,4,0
2021,7,23,12,23.4,WNW,1,3
2021,7,23,18,20.4,NNW,4,6
2021,7,24,6,19.4,  N,1,1
2021,7,24,12,22.2,ENE,5,1
2021,7,24,18,19.1,ENE,3,0
2021,7,25,6,20.4,  E,3,1
2021,7,25,12,24.9,ENE,6,7
2021,7,25,18,24.6,ENE,2,7
2021,7,26,6,20.4,ESE,2,7
2021,7,26,12,22.0,ENE,5,7
2021,7,26,18,22.3,ESE,1,7
2021,7,27,6,21.1,WSW,1,7
2021,7,27,12,28.5,WSW,4,5
2021,7,27,18,21.8,SSE,2,7
2021,7,28,6,20.9,  C,0,6
2021,7,28,12,27.4,WSW,1,7
2021,7,28,18,22.5, NW,3,7
2021,7,29,6,19.9,WSW,3,1
2021,7,29,12,22.7,WSW,5,6
2021,7,29,18,19.9,WNW,3,6
2021,7,30,6,17.5,WSW,4,1
2021,7,30,12,23.2,WSW,8,6
2021,7,30,18,21.2,WNW,3,2
2021,7,31,6,19.7,SSW,4,2
2021,7,31,12,19.8,  W,4,7
2021,7,31,18,22.1,WSW,2,7
