Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,2,1,6,-6.8,  C,0,5
2021,2,1,12,-1.5,SSE,1,7
2021,2,1,18,-4.7, SE,3,7
2021,2,2,6,-4.3,  S,3,7
2021,2,2,12,-2.3,WSW,3,8
2021,2,2,18,-1.8,WSW,2,7
2021,2,3,6,-2.9,  C,0,7
2021,2,3,12,.9,  E,3,8
2021,2,3,18,-.7,  E,6,8
2021,2,4,6,-2.1,ENE,5,7
2021,2,4,12,-.1, NE,4,7
2021,2,4,18,-2.6, NW,2,8
2021,2,5,6,-6.6,  W,1,5
2021,2,5,12,-2.8, NW,4,1
2021,2,5,18,-6.5,WNW,2,6
2021,2,6,6,-9.0,SSW,1,3
2021,2,6,12,-4.9,  S,1,7
2021,2,6,18,-9.7,WSW,1,6
2021,2,7,6,-14.3,  E,1,7
2021,2,7,12,-11.0,ESE,2,7
2021,2,7,18,-9.6,ESE,7,7
2021,2,8,6,-12.0,  E,6,7
2021,2,8,12,-8.8,  E,8,8
2021,2,8,18,-8.0,  E,9,8
2021,2,9,6,-8.8, SE,4,8
2021,2,9,12,-7.6, SE,1,8
2021,2,9,18,-8.9,SSE,1,8
2021,2,10,6,-10.5,SSE,1,8
2021,2,10,12,-8.1,WNW,2,7
2021,2,10,18,-8.0,NNW,3,7
2021,2,11,6,-7.8, NE,5,8
2021,2,11,12,-6.9, SE,2,8
2021,2,11,18,-5.3, NE,4,7
2021,2,12,6,-5.6, NE,4,6
2021,2,12,12,-5.3, NE,5,6
2021,2,12,18,-4.7, NW,4,6
2021,2,13,6,-.9, NW,6,6
2021,2,13,12,-.5, NW,8,1
2021,2,13,18,-5.3, NW,6,0
2021,2,14,6,-3.4, NW,8,0
2021,2,14,12,.7, NW,9,0
2021,2,14,18,-2.7,WNW,5,0
2021,2,15,6,-6.8,WNW,3,3
2021,2,15,12,-.5,WNW,3,3
2021,2,15,18,-4.1,  S,1,3
2021,2,16,6,-8.2,  S,2,7
2021,2,16,12,-4.0, SE,4,7
2021,2,16,18,-3.6,SSE,1,7
2021,2,17,6,-4.1, SE,4,8
2021,2,17,12,-2.5, SE,4,8
2021,2,17,18,-2.5,ESE,4,8
2021,2,18,6,-10.4, SE,3,3
2021,2,18,12,-5.1, SE,4,1
2021,2,18,18,-6.6,SSE,3,1
2021,2,19,6,-5.5,SSE,3,7
2021,2,19,12,-1.8,SSE,3,8
2021,2,19,18,2.0,WNW,4,8
2021,2,20,6,1.2, SW,2,4
2021,2,20,12,5.6,WSW,3,7
2021,2,20,18,3.6,  S,1,7
2021,2,21,6,2.3,  W,1,7
2021,2,21,12,10.4,WSW,2,6
2021,2,21,18,6.6,WSW,2,5
2021,2,22,6,.8,  W,1,1
2021,2,22,12,11.6,WSW,2,0
2021,2,22,18,6.5,WSW,2,0
2021,2,23,6,3.1,  W,2,0
2021,2,23,12,9.1,WNW,4,5
2021,2,23,18,8.6,  W,2,7
2021,2,24,6,5.2,  C,0,8
2021,2,24,12,12.7,  W,4,7
2021,2,24,18,9.9,WSW,5,6
2021,2,25,6,4.3,  W,2,1
2021,2,25,12,14.4,WSW,4,0
2021,2,25,18,9.9,WSW,3,0
2021,2,26,6,4.1,  W,5,7
2021,2,26,12,7.7,  W,9,7
2021,2,26,18,4.6,WNW,7,7
2021,2,27,6,1.2,WNW,4,0
2021,2,27,12,6.9, NW,9,3
2021,2,27,18,1.2, NW,4,0
2021,2,28,6,2.8,WNW,5,8
2021,2,28,12,4.1,WNW,8,8
2021,2,28,18,2.7,WNW,6,8
