Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,10,1,6,5.7,  C,0,1
2021,10,1,12,15.9,  S,2,2
2021,10,1,18,11.5, SE,3,1
2021,10,2,6,6.7, SE,3,8
2021,10,2,12,10.0, SE,5,8
2021,10,2,18,10.9, SE,4,4
2021,10,3,6,10.8,SSE,4,7
2021,10,3,12,18.4,SSE,7,7
2021,10,3,18,14.8,SSE,4,0
2021,10,4,6,10.5,  C,0,7
2021,10,4,12,16.4, SW,1,7
2021,10,4,18,14.7,  E,2,8
2021,10,5,6,11.5, SE,3,7
2021,10,5,12,17.4, SE,7,5
2021,10,5,18,15.4, SE,6,4
2021,10,6,6,13.4,SSE,4,7
2021,10,6,12,14.0,  C,0,7
2021,10,6,18,11.7, SE,3,8
2021,10,7,6,10.3, SE,2,8
2021,10,7,12,13.7, SE,2,7
2021,10,7,18,10.7,  S,1,8
2021,10,8,6,5.0, SE,1,3
2021,10,8,12,12.4, SE,4,0
2021,10,8,18,6.2,ESE,2,0
2021,10,9,6,.0,  W,1,1
2021,10,9,12,13.4, SE,3,3
2021,10,9,18,8.0,  E,1,6
2021,10,10,6,.6,  C,0,4
2021,10,10,12,12.2,SSE,4,1
2021,10,10,18,6.9,SSE,2,1
2021,10,11,6,4.6, SW,2,7
2021,10,11,12,10.6,WSW,5,7
2021,10,11,18,8.6,WSW,4,5
2021,10,12,6,6.1,WSW,3,2
2021,10,12,12,8.7, NW,6,3
2021,10,12,18,3.8,WNW,3,4
2021,10,13,6,4.6, NW,3,6
2021,10,13,12,10.2, NW,4,5
2021,10,13,18,3.1,WNW,1,2
2021,10,14,6,5.1,WSW,2,7
2021,10,14,12,8.7,WSW,4,8
2021,10,14,18,9.0,WSW,3,6
2021,10,15,6,10.3,WSW,5,7
2021,10,15,12,12.3,WSW,7,5
2021,10,15,18,9.1,  W,5,4
2021,10,16,6,6.5,WSW,2,2
2021,10,16,12,10.1,  W,6,7
2021,10,16,18,8.2,WSW,4,7
2021,10,17,6,6.8,WSW,4,7
2021,10,17,12,11.2,WSW,5,7
2021,10,17,18,8.8,  W,6,5
2021,10,18,6,3.6,  C,0,2
2021,10,18,12,10.0,WNW,4,7
2021,10,18,18,7.7,  C,0,7
2021,10,19,6,6.8, SE,4,7
2021,10,19,12,11.5,SSE,2,7
2021,10,19,18,12.0, SW,3,8
2021,10,20,6,13.2,WSW,5,8
2021,10,20,12,17.4, SW,8,3
2021,10,20,18,15.5,WSW,7,2
2021,10,21,6,14.4,SSW,5,7
2021,10,21,12,15.9,WSW,9,5
2021,10,21,18,9.5,WSW,7,3
2021,10,22,6,5.0,  W,5,7
2021,10,22,12,7.5,WSW,13,7
2021,10,22,18,5.6,  W,4,7
2021,10,23,6,5.8,WSW,5,7
2021,10,23,12,8.3, NW,10,4
2021,10,23,18,3.0, NW,1,1
2021,10,24,6,.2, NW,1,6
2021,10,24,12,10.7,WSW,4,7
2021,10,24,18,5.0,  S,2,3
2021,10,25,6,1.7, SE,2,1
2021,10,25,12,11.0,  S,2,2
2021,10,25,18,6.9,  C,0,3
2021,10,26,6,4.9,WSW,1,7
2021,10,26,12,10.0,  W,3,8
2021,10,26,18,9.3,WSW,4,8
2021,10,27,6,8.8,WSW,3,8
2021,10,27,12,11.0,WSW,7,8
2021,10,27,18,12.1,WSW,6,7
2021,10,28,6,12.0,WSW,6,7
2021,10,28,12,13.6,WNW,6,6
2021,10,28,18,9.0, SE,1,2
2021,10,29,6,6.0,  S,1,0
2021,10,29,12,12.6,  S,2,3
2021,10,29,18,8.9,  S,2,0
2021,10,30,6,4.9,  C,0,1
2021,10,30,12,12.7,SSE,2,4
2021,10,30,18,9.6, SE,4,3
2021,10,31,6,8.5, SW,4,3
2021,10,31,12,14.5,WSW,4,6
2021,10,31,18,11.5,SSE,2,2
