Year,Month,Day,Hour,Temp,Destination,Wind,Clouds
2021,11,1,6,5.8,SSE,3,2
2021,11,1,12,12.2,SSE,4,0
2021,11,1,18,10.2, SE,1,7
2021,11,2,6,3.4, SE,3,5
2021,11,2,12,5.4, SE,3,8
2021,11,2,18,6.2,SSE,2,8
2021,11,3,6,7.1,WSW,3,7
2021,11,3,12,8.8,  W,4,4
2021,11,3,18,6.0, SW,2,4
2021,11,4,6,4.8,ESE,3,8
2021,11,4,12,7.6,  E,5,8
2021,11,4,18,8.2,SSE,5,8
2021,11,5,6,7.3,  W,6,7
2021,11,5,12,7.1,WNW,8,7
2021,11,5,18,6.2,WSW,4,7
2021,11,6,6,8.2,WSW,6,8
2021,11,6,12,9.1,WSW,8,8
2021,11,6,18,8.5,WSW,7,7
2021,11,7,6,7.0, SW,8,8
2021,11,7,12,7.8,WSW,6,7
2021,11,7,18,6.9,  W,5,6
2021,11,8,6,6.6,  W,3,7
2021,11,8,12,6.1,  N,3,8
2021,11,8,18,2.2, NW,1,1
2021,11,9,6,1.1, SE,2,8
2021,11,9,12,5.6,SSW,4,7
2021,11,9,18,6.0, SW,4,7
2021,11,10,6,3.9, SW,2,3
2021,11,10,12,8.7, SW,2,4
2021,11,10,18,5.4,WSW,2,7
2021,11,11,6,5.8,WSW,1,8
2021,11,11,12,8.3,WSW,3,8
2021,11,11,18,7.8,  W,4,8
2021,11,12,6,7.2,  W,3,5
2021,11,12,12,9.4,  W,5,7
2021,11,12,18,4.3, SE,1,4
2021,11,13,6,3.7, SE,6,8
2021,11,13,12,5.3,SSE,3,8
2021,11,13,18,5.5, SE,4,8
2021,11,14,6,5.3,NNE,1,8
2021,11,14,12,6.8,ENE,4,8
2021,11,14,18,5.6,  E,5,8
2021,11,15,6,4.1, SE,5,8
2021,11,15,12,4.4,ESE,3,8
2021,11,15,18,3.9, SE,3,8
2021,11,16,6,3.7, SE,2,8
2021,11,16,12,4.0,  S,1,8
2021,11,16,18,3.7,  S,1,8
2021,11,17,6,4.3,  S,1,8
2021,11,17,12,5.0,SSW,1,8
2021,11,17,18,3.1,WSW,4,8
2021,11,18,6,4.5,WSW,4,3
2021,11,18,12,7.0,WSW,6,7
2021,11,18,18,7.3,WSW,5,8
2021,11,19,6,10.8,WNW,11,8
2021,11,19,12,11.7,WNW,9,7
2021,11,19,18,10.9,  W,11,7
2021,11,20,6,8.1,WNW,7,6
2021,11,20,12,9.4,  W,5,8
2021,11,20,18,9.2,  W,7,8
2021,11,21,6,7.6,WSW,6,8
2021,11,21,12,7.7, NW,7,7
2021,11,21,18,3.9,WNW,2,6
2021,11,22,6,1.0,NNE,5,7
2021,11,22,12,3.2,WSW,2,4
2021,11,22,18,.9,  W,2,7
2021,11,23,6,3.8,  W,4,8
2021,11,23,12,6.1, NW,6,6
2021,11,23,18,1.2,  W,2,0
2021,11,24,6,5.5,  W,3,7
2021,11,24,12,7.3,  W,4,7
2021,11,24,18,5.9,WSW,3,8
2021,11,25,6,4.8, SW,3,8
2021,11,25,12,3.6, SW,3,8
2021,11,25,18,2.5, SW,4,8
2021,11,26,6,3.5,WSW,6,7
2021,11,26,12,5.0,WSW,5,6
2021,11,26,18,.5,SSW,1,7
2021,11,27,6,.1,WNW,2,7
2021,11,27,12,1.6,WNW,3,8
2021,11,27,18,1.5,WSW,1,7
2021,11,28,6,.1,  S,1,8
2021,11,28,12,1.5, SW,2,8
2021,11,28,18,.9,ESE,1,8
2021,11,29,6,.5, NW,4,8
2021,11,29,12,2.5,NNW,5,7
2021,11,29,18,.9, NW,6,3
2021,11,30,6,-1.6,WSW,3,7
2021,11,30,12,-.7,SSE,6,8
2021,11,30,18,-.8, NW,2,8
