data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc
11/3/21 5:00,9.00024,9.38032,7.88327,9.22742,11.1818,9.68353
11/3/21 6:00,11.832,11.1848,9.46239,9.88188,12.574,11.098
11/3/21 7:00,14.3536,13.3742,11.8407,11.6712,13.9776,13.2006
11/3/21 8:00,15.0918,15.354,13.9211,13.4648,13.7727,13.5231
11/3/21 9:00,15.2496,16.9296,13.1499,13.1852,14.381,14.5927
11/3/21 10:00,15.9612,19.7532,13.3648,13.1708,15.4873,15.7949
11/3/21 11:00,18.7087,23.0153,15.5757,14.2369,17.1771,15.9786
11/3/21 12:00,18.1928,20.6345,14.196,14.1725,16.2238,15.5757
11/3/21 13:00,18.5162,21.719,13.4219,14.7844,19.3233,16.8206
11/3/21 14:00,18.4392,22.2382,13.2908,15.6065,17.901,16.3263
11/3/21 15:00,18.922,22.624,13.6084,15.9156,24.1317,16.4537
11/3/21 16:00,19.9323,21.335,14.1304,18.2019,28.1842,18.977
11/3/21 17:00,18.8496,20.9922,15.8572,23.2401,41.5141,20.0091
11/3/21 18:00,16.87,23.1691,13.2636,25.4899,19.6769,18.501
11/3/21 19:00,23.6266,22.7605,20.4943,24.7106,24.6315,18.8479
11/3/21 20:00,24.5264,24.901,22.0269,27.5723,25.5927,24.1151
11/3/21 21:00,24.7177,25.1119,23.2424,42.1199,24.4232,32.072
11/3/21 22:00,27.0473,25.1645,28.3164,32.4001,24.8417,29.3843
11/3/21 23:00,30.161,34.1527,36.4005,34.0341,26.9918,34.1658
11/4/21 0:00,31.4402,33.8977,37.8774,45.7424,28.1199,30.9089
11/4/21 1:00,32.8881,39.4238,32.1613,28.4467,31.8814,26.4513
11/4/21 2:00,34.3775,46.2915,34.4885,23.6476,28.319,27.865
11/4/21 3:00,33.0408,40.4133,27.0958,26.6084,28.408,26.1359
11/4/21 4:00,27.0798,36.0011,23.2817,24.5359,28.7295,24.7317
11/4/21 5:00,33.1918,32.61,23.7805,22.5402,27.3283,23.3181
11/4/21 6:00,30.4402,27.472,29.1731,21.412,23.3578,25.1217
11/4/21 7:00,25.3227,26.7267,21.9209,24.8764,24.3295,31.138
11/4/21 8:00,30.9576,27.192,21.0008,33.0489,29.3913,35.227
11/4/21 9:00,36.2122,31.0693,21.9997,29.1321,31.1022,27.1023
11/4/21 10:00,31.3895,28.6276,20.0484,22.0328,27.638,23.9494
11/4/21 11:00,29.0134,28.1707,21.4816,21.9172,26.9554,24.2902
11/4/21 12:00,33.0645,29.8615,24.9916,22.5957,27.7836,24.4511
11/4/21 13:00,28.3487,28.3947,21.0365,21.362,24.8933,20.7673
11/4/21 14:00,36.5287,25.1687,16.9852,18.8153,19.8528,17.6292
11/4/21 15:00,34.8299,21.933,14.6485,16.0914,17.4897,16.243
11/4/21 16:00,19.7192,20.0109,12.8306,14.918,15.6081,16.3782
11/4/21 17:00,18.9727,19.0295,13.6154,15.7376,16.1056,17.8236
11/4/21 18:00,22.2154,22.7824,14.765,21.0791,15.8973,19.4136
11/4/21 19:00,23.0162,24.0859,16.3339,29.8374,19.846,21.9338
11/4/21 20:00,15.9331,16.1313,15.2318,22.1759,15.6911,16.4846
11/4/21 21:00,6.01887,6.64516,5.58305,11.5087,6.18661,5.48115
11/4/21 22:00,4.94578,5.58064,12.1247,9.87275,5.18884,5.02778
11/4/21 23:00,5.92802,6.03993,8.74634,11.7712,5.06112,5.5359
11/5/21 0:00,5.65722,6.32872,6.49353,6.91157,4.99476,5.52867
11/5/21 1:00,3.93392,4.30215,4.35614,7.98268,3.7571,4.10295
11/5/21 2:00,3.64799,3.91966,4.85493,4.65787,3.38,3.7586
11/5/21 3:00,3.18452,3.48033,5.73096,3.65501,2.9929,3.47594
11/5/21 4:00,2.49656,3.24289,2.86655,3.34603,3.17408,2.41616
11/5/21 5:00,4.57031,3.43074,3.55494,3.22929,2.4981,2.12045
11/5/21 6:00,6.76608,2.27273,3.02191,3.00589,4.39068,2.08995
11/5/21 7:00,4.01029,3.91483,3.43096,3.7395,4.91682,3.32838
11/5/21 8:00,6.11016,7.73799,5.81303,7.6647,8.85971,6.42706
11/5/21 9:00,9.47972,10.1964,6.56265,11.7475,8.65615,7.80695
11/5/21 10:00,6.00746,7.26224,4.96509,6.64911,4.24769,5.16619
11/5/21 11:00,5.63813,6.78275,3.35876,4.48188,4.01069,3.7189
11/5/21 12:00,5.36492,5.52117,3.85953,6.99605,5.25994,4.31962
11/5/21 13:00,6.50815,8.25874,-1,7.39193,5.85902,5.65898
